,symbol,Ltp,%change,open,High,Low,Qty,Pclose,diff
111,KBSH,"1,794.00",1.93,"1,795.00","1,795.00","1,760.00",72,"1,760.00",34
112,KDBY,9.35,-0.53,9.22,9.49,9.22,"5,300",9.40,-0.05
113,KDL,903.00,-0.22,895.00,910.00,895.00,"2,595",905.00,-2
114,KEF,9.14,1.56,8.83,9.17,8.82,"4,600",9.00,0.14
115,KKHC,242.70,-0.12,239.00,243.10,237.10,"19,068",243.00,-0.3
116,KMCDB,"1,137.90",0.34,"1,134.00","1,139.00","1,110.00","24,385","1,134.00",3.9
117,KPCL,542.00,-1.11,548.00,556.00,542.00,"29,695",548.10,-6.1
118,KSBBL,431.50,0.82,435.00,435.00,426.30,"10,600",428.00,3.5
119,KSBBLD87,"1,164.80",2,"1,164.80","1,164.80","1,164.80",117,"1,142.00",22.8
120,KSY,8.85,-0.11,8.71,8.85,8.71,"5,948",8.86,-0.01
121,LBBL,444.20,-0.18,445.00,452.50,442.30,"53,366",445.00,-0.8
122,LEC,197.00,1.65,193.80,200.00,190.50,"157,003",193.80,3.2
123,LICN,913.10,2.14,891.00,919.90,891.00,"29,391",894.00,19.1
124,LLBS,982.20,-1.88,"1,000.00","1,000.00",981.00,472,"1,001.00",-18.8
125,LSL,232.00,-0.43,232.00,232.50,230.00,"129,868",233.00,-1
126,LUK,9.18,0.66,9.12,9.18,9.12,600,9.12,0.06
127,LVF2,9.00,-2.07,9.02,9.30,8.84,"48,900",9.19,-0.19
128,MABEL,725.00,0.69,705.60,760.00,705.60,"33,327",720.00,5
129,MAKAR,569.00,4.19,540.00,575.20,540.00,"14,762",546.10,22.9
130,MANDU,795.50,-1.18,790.00,805.00,790.00,"1,530",805.00,-9.5
131,MATRI,960.00,0.84,940.00,960.00,940.00,"1,097",952.00,8
132,MBJC,286.00,-0.28,284.10,290.60,281.40,"25,564",286.80,-0.8
133,MBL,215.70,-1.06,215.00,219.00,215.00,"60,375",218.00,-2.3
134,MBLEF,9.28,1.98,9.00,9.30,9.00,"32,450",9.10,0.18
135,MCHL,491.00,-3.73,520.20,520.20,481.00,"8,506",510.00,-19
136,MDB,569.00,0.89,573.00,573.00,555.00,"27,373",564.00,5
137,MEHL,489.80,0.16,480.00,494.90,480.00,"57,948",489.00,0.8
138,MEL,286.00,-1.04,283.40,300.00,283.00,"66,718",289.00,-3
139,MEN,538.00,-0.85,543.00,545.60,536.00,"62,895",542.60,-4.6
140,MERO,750.00,-0.66,755.00,784.00,749.40,"8,874",755.00,-5
141,MFIL,636.00,2.58,623.00,645.00,615.00,"77,824",620.00,16
142,MHCL,393.10,-1.11,397.50,399.00,392.10,"2,911",397.50,-4.4
143,MHL,488.80,1.66,481.00,491.60,480.00,"14,340",480.80,8
144,MHNL,245.00,0.04,240.20,247.00,240.20,"9,634",244.90,0.1
145,MKCL,"1,341.00",-1.29,"1,348.00","1,368.00","1,340.80","3,665","1,358.50",-17.5
146,MKHC,390.00,0,382.50,397.50,382.50,"4,170",390.00,0
147,MKHL,795.00,1,802.80,802.80,772.00,"8,730",787.10,7.9
148,MKJC,524.70,-0.62,523.20,526.00,518.20,"23,363",528.00,-3.3
149,MLBBL,"1,559.00",-0.26,"1,560.00","1,560.00","1,497.10","8,902","1,563.00",-4
150,MLBL,378.30,-0.45,379.20,380.00,377.20,"22,939",380.00,-1.7
151,MLBS,"1,509.00",0.47,"1,500.00","1,509.00","1,482.20",474,"1,502.00",7
152,MLBSL,"1,990.00",0.51,"1,945.00","2,018.00","1,945.00",130,"1,980.00",10
153,MMF1,8.51,0.35,8.40,8.60,8.40,"3,490",8.48,0.03
154,MMKJL,586.90,1.54,578.00,589.50,575.00,"19,369",578.00,8.9
155,MNBBL,342.20,-0.81,347.90,347.90,341.30,"40,530",345.00,-2.8
156,MND84/85,"1,093.00",-0.91,"1,094.00","1,094.00","1,093.00",50,"1,103.00",-10
157,MNMF1,8.88,0.34,8.70,8.90,8.53,"39,330",8.85,0.03
158,MPFL,558.00,-0.36,560.00,560.00,552.00,"13,623",560.00,-2
159,MSHL,905.00,0.2,895.00,905.00,894.00,872,903.20,1.8
160,MSLB,"1,439.00",1.84,"1,385.00","1,440.20","1,385.00","1,790","1,413.00",26
161,NABBC,"1,038.00",1.86,998.70,"1,100.00",998.70,"55,446","1,019.00",19
162,NABIL,495.00,-1.59,503.00,503.00,495.00,"81,912",503.00,-8
163,NABILD2089,"1,106.80",2.01,"1,085.10","1,106.80","1,085.10","2,169","1,085.00",21.8
164,NABILD87,"1,138.00",-0.39,"1,138.00","1,138.00","1,138.00",25,"1,142.50",-4.5
165,NADEP,764.00,0.53,760.00,771.00,756.00,"1,165",760.00,4
166,NBBD2085,"1,146.20",1.25,"1,146.20","1,146.20","1,146.20",25,"1,132.00",14.2
167,NBF2,9.35,0.54,9.30,9.35,9.25,"154,204",9.30,0.05
168,NBF3,9.02,-0.33,9.00,9.02,9.00,"17,450",9.05,-0.03
169,NBL,241.80,-0.08,246.80,246.80,240.10,"46,014",242.00,-0.2
170,NBLD87,"1,120.00",1.7,"1,120.00","1,120.00","1,120.00",100,"1,101.30",18.7
